COMP_IDstr,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY
M47784,X - 22520,,
M48018,X - 22716,,
M48067,X - 22764,,
M48076,X - 22771,,
M48080,X - 22775,,
M48081,X - 22776,,
M48185,X - 22834,,
M48191,X - 22836,,
M48207,X - 22850,,
M48774,X - 23160,,
M48989,X - 23291,,
M48992,X - 23293,,
M48993,X - 23294,,
M48994,X - 23295,,
M48995,X - 23296,,
M48996,X - 23297,,
M49014,X - 23314,,
M49228,X - 23369,,
M49461,X - 23585,,
M49463,X - 23587,,
M49466,X - 23590,,
M49512,X - 23636,,
M49513,X - 23637,,
M49515,X - 23639,,
M49517,X - 23641,,
M49521,X - 23644,,
M49529,X - 23652,,
M49539,X - 23662,,
M49546,X - 23669,,
M49555,X - 23678,,
M49556,X - 23679,,
M49557,X - 23680,,
M49583,X - 23705,,
M49627,X - 23729,,
M49637,X - 23739,,
M49647,X - 23749,,
M49663,X - 23765,,
M49679,X - 23780,,
M49681,X - 23782,,
M49688,X - 23787,,
M49689,X - 23788,,
M52025,X - 23997,,
M52049,X - 24020,,
M52050,X - 24021,,
M52052,X - 24023,,
M52053,X - 24024,,
M52064,X - 24035,,
M52070,X - 24041,,
M52078,X - 24049,,
M52081,X - 24052,,
M52083,X - 24054,,
M52090,X - 24061,,
M52126,X - 24097,,
M52135,X - 24106,,
M52151,X - 24122,,
M52154,X - 24125,,
M52238,X - 24204,,
M52240,X - 24206,,
M52278,X - 24240,,
M52280,X - 24241,,
M52286,X - 24243,,
M52314,X - 24259,,
M52315,X - 24260,,
M52316,X - 24261,,
M52318,X - 24263,,
M52413,X - 24278,,
M52424,X - 24286,,
M52425,X - 24287,,
M52297,X - 24293,,
M52483,X - 24295,,
M52501,X - 24306,,
M52502,X - 24307,,
M52504,X - 24309,,
M52544,X - 24348,,
M52636,X - 24422,,
M52655,X - 24425,,
M52661,X - 24431,,
M52662,X - 24432,,
M52665,X - 24435,,
M52670,X - 24438,,
M52671,X - 24439,,
M52766,X - 24449,,
M52769,X - 24452,,
M52772,X - 24455,,
M52788,X - 24471,,
M52790,X - 24473,,
M52792,X - 24475,,
M52833,X - 24512,,
M52834,X - 24513,,
M52848,X - 24527,,
M52850,X - 24529,,
M52863,X - 24542,,
M52865,X - 24544,,
M52867,X - 24546,,
M52892,X - 24571,,
M52906,X - 24585,,
M53003,X - 24593,,
M53106,X - 24678,,
M53110,X - 24682,,
M53127,X - 24699,,
